customer_name,customer_contact_name,customer_country,employee_name,employee_title,shipper_name,ship_name,order_date,delivery_date,freight_value,order_value,billable_value
Customer AHXHT,"Frank, Jill",Mexico,"Funk, Don","Vice President, Sales",Shipper ETYNR,Ship to 58-B,2023-05-05,2023-06-02,24.95,300,324.95
Customer AHXHT,"Frank, Jill",Mexico,"Funk, Don","Vice President, Sales",Shipper GVSUA,Ship to 58-B,2022-04-10,2022-05-08,69.32,816.3,885.62
Customer AHXHT,"Frank, Jill",Mexico,"King, Russell",Sales Representative,Shipper ZHISN,Ship to 58-A,2021-10-04,2021-11-01,0.4,112,112.4
Customer AHXHT,"Frank, Jill",Mexico,"Mortensen, Sven",Sales Manager,Shipper ETYNR,Ship to 58-C,2022-03-13,2022-04-10,83.49,1249.1,1332.59
Customer AZJED,"Carlson, Jason",Germany,"Cameron, Maria",Sales Representative,Shipper ETYNR,Destination VAPXU,2022-03-27,2022-04-24,4.93,1512,1516.93
Customer AZJED,"Carlson, Jason",Germany,"Cameron, Maria",Sales Representative,Shipper ETYNR,Destination VAPXU,2022-08-07,2022-09-04,97.18,1336.95,1434.13
Customer AZJED,"Carlson, Jason",Germany,"Cameron, Maria",Sales Representative,Shipper GVSUA,Destination QOCBL,2022-06-06,2022-07-04,36.65,1072.425,1109.075
Customer AZJED,"Carlson, Jason",Germany,"Davis, Sara",CEO,Shipper ETYNR,Destination QOCBL,2022-10-24,2022-11-21,59.25,1270.75,1330
Customer AZJED,"Carlson, Jason",Germany,"Davis, Sara",CEO,Shipper ETYNR,Destination QOCBL,2023-01-29,2023-02-26,76.1,1078.6875,1154.7875
Customer AZJED,"Carlson, Jason",Germany,"Davis, Sara",CEO,Shipper GVSUA,Destination QOCBL,2022-09-02,2022-09-30,93.25,1083.15,1176.4
Customer AZJED,"Carlson, Jason",Germany,"Davis, Sara",CEO,Shipper ZHISN,Destination VAPXU,2021-12-27,2022-01-10,135.35,1903.8,2039.15
Customer AZJED,"Carlson, Jason",Germany,"Davis, Sara",CEO,Shipper ZHISN,Destination WEGWI,2023-04-09,2023-04-23,242.95,2825.3,3068.25
Customer AZJED,"Carlson, Jason",Germany,"Mortensen, Sven",Sales Manager,Shipper ETYNR,Destination WEGWI,2022-09-19,2022-10-17,31.85,1423,1454.85
Customer AZJED,"Carlson, Jason",Germany,"Peled, Yael",Sales Representative,Shipper ETYNR,Destination VAPXU,2021-10-30,2021-11-13,54.83,1840.64,1895.47
Customer AZJED,"Carlson, Jason",Germany,"Peled, Yael",Sales Representative,Shipper GVSUA,Destination QOCBL,2022-09-16,2022-10-14,203.48,2301.75,2505.23
Customer AZJED,"Carlson, Jason",Germany,"Peled, Yael",Sales Representative,Shipper GVSUA,Destination VAPXU,2021-07-29,2021-08-26,208.58,3536.6,3745.18
Customer AZJED,"Carlson, Jason",Germany,"Peled, Yael",Sales Representative,Shipper ZHISN,Destination QOCBL,2021-10-24,2021-11-21,108.26,2467,2575.26
Customer AZJED,"Carlson, Jason",Germany,"Suurs, Paul",Sales Representative,Shipper ETYNR,Destination QOCBL,2022-12-23,2023-01-20,16.85,1829.757,1846.607
Customer AZJED,"Carlson, Jason",Germany,"Suurs, Paul",Sales Representative,Shipper GVSUA,Destination QOCBL,2023-03-05,2023-04-02,33.93,1174.75,1208.68
Customer BSVAR,"Lieber, Justin",France,"Davis, Sara",CEO,Shipper ZHISN,Destination SNPXM,2021-09-20,2021-10-04,24.69,268.8,293.49
Customer BSVAR,"Lieber, Justin",France,"Funk, Don","Vice President, Sales",Shipper GVSUA,Destination FVRGC,2022-09-26,2022-10-24,4.4,63,67.4
Customer BSVAR,"Lieber, Justin",France,"King, Russell",Sales Representative,Shipper ETYNR,Destination SNPXM,2022-07-24,2022-08-21,1.85,424,425.85
Customer BSVAR,"Lieber, Justin",France,"King, Russell",Sales Representative,Shipper GVSUA,Destination JNSYI,2023-02-16,2023-03-16,32.76,860.1,892.86
Customer CCFIZ,"Vasa, Petr",Poland,"Cameron, Maria",Sales Representative,Shipper ETYNR,Ship to 91-A,2023-04-03,2023-04-17,20.31,686,706.31
Customer CCFIZ,"Vasa, Petr",Poland,"Davis, Sara",CEO,Shipper ZHISN,Ship to 91-A,2021-12-05,2022-01-02,3.94,459,462.94
Customer CCFIZ,"Vasa, Petr",Poland,"Davis, Sara",CEO,Shipper ZHISN,Ship to 91-C,2022-12-23,2023-01-20,23.79,399.85,423.64
Customer CCFIZ,"Vasa, Petr",Poland,"Mortensen, Sven",Sales Manager,Shipper ZHISN,Ship to 91-A,2023-02-04,2023-03-04,12.04,160,172.04
Customer CCFIZ,"Vasa, Petr",Poland,"Peled, Yael",Sales Representative,Shipper GVSUA,Ship to 91-B,2023-04-23,2023-05-21,8.72,591.6,600.32
Customer CCFIZ,"Vasa, Petr",Poland,"Peled, Yael",Sales Representative,Shipper ZHISN,Ship to 91-B,2023-02-25,2023-03-11,26.29,427.5,453.79
Customer CCFIZ,"Vasa, Petr",Poland,"Suurs, Paul",Sales Representative,Shipper ETYNR,Ship to 91-B,2022-07-25,2022-08-22,80.65,808,888.65
Customer CCKOT,"Myrcha, Jacek",Switzerland,"Cameron, Maria",Sales Representative,Shipper ETYNR,Ship to 68-A,2023-05-06,2023-06-03,6.19,498.1,504.29
Customer CCKOT,"Myrcha, Jacek",Switzerland,"Davis, Sara",CEO,Shipper GVSUA,Ship to 68-B,2022-05-14,2022-05-28,78.85,1823.8,1902.65
Customer CCKOT,"Myrcha, Jacek",Switzerland,"Doyle, Patricia",Sales Representative,Shipper ETYNR,Ship to 68-A,2023-03-16,2023-04-27,30.85,458.755,489.605
Customer CCKOT,"Myrcha, Jacek",Switzerland,"Doyle, Patricia",Sales Representative,Shipper ZHISN,Ship to 68-A,2021-07-12,2021-08-09,148.33,2490.5,2638.83
Customer CCKOT,"Myrcha, Jacek",Switzerland,"King, Russell",Sales Representative,Shipper ETYNR,Ship to 68-A,2022-09-12,2022-10-10,232.42,4666.94,4899.36
Customer CCKOT,"Myrcha, Jacek",Switzerland,"King, Russell",Sales Representative,Shipper ZHISN,Ship to 68-A,2023-04-17,2023-05-15,84.74,3232.8,3317.54
Customer CCKOT,"Myrcha, Jacek",Switzerland,"Lew, Judy",Sales Manager,Shipper ZHISN,Ship to 68-A,2022-11-24,2022-12-22,130.79,1631.484,1762.274
Customer CCKOT,"Myrcha, Jacek",Switzerland,"Lew, Judy",Sales Manager,Shipper ZHISN,Ship to 68-C,2022-11-28,2022-12-26,138.17,1644.6,1782.77
Customer CCKOT,"Myrcha, Jacek",Switzerland,"Peled, Yael",Sales Representative,Shipper ETYNR,Ship to 68-A,2022-01-20,2022-02-17,137.35,2097.6,2234.95
Customer CCKOT,"Myrcha, Jacek",Switzerland,"Peled, Yael",Sales Representative,Shipper ETYNR,Ship to 68-B,2023-03-06,2023-03-20,13.6,799.2,812.8
Customer CQRAA,"Duerr, Bernard",Italy,"Cameron, Maria",Sales Representative,Shipper ETYNR,Ship to 49-C,2022-03-06,2022-04-03,4.93,235.2,240.13
Customer CQRAA,"Duerr, Bernard",Italy,"Cameron, Maria",Sales Representative,Shipper ZHISN,Ship to 49-A,2022-08-18,2022-09-15,47.46,1326.225,1373.685
Customer CQRAA,"Duerr, Bernard",Italy,"Davis, Sara",CEO,Shipper ETYNR,Ship to 49-B,2023-03-16,2023-04-13,2.5,110,112.5
Customer CQRAA,"Duerr, Bernard",Italy,"Davis, Sara",CEO,Shipper GVSUA,Ship to 49-A,2021-08-07,2021-09-04,26.93,291.84,318.77
Customer CQRAA,"Duerr, Bernard",Italy,"Funk, Don","Vice President, Sales",Shipper ETYNR,Ship to 49-A,2021-09-09,2021-10-07,17.68,608,625.68
Customer CQRAA,"Duerr, Bernard",Italy,"Funk, Don","Vice President, Sales",Shipper ETYNR,Ship to 49-A,2023-03-10,2023-04-07,76.33,637.5,713.83
Customer CQRAA,"Duerr, Bernard",Italy,"Funk, Don","Vice President, Sales",Shipper GVSUA,Ship to 49-B,2022-01-03,2022-01-31,155.97,1591.25,1747.22
Customer CQRAA,"Duerr, Bernard",Italy,"King, Russell",Sales Representative,Shipper ZHISN,Ship to 49-B,2023-01-07,2023-02-04,65.48,833,898.48
Customer CQRAA,"Duerr, Bernard",Italy,"Peled, Yael",Sales Representative,Shipper ZHISN,Ship to 49-A,2022-12-18,2023-01-15,70.09,1488,1558.09
Customer CQRAA,"Duerr, Bernard",Italy,"Suurs, Paul",Sales Representative,Shipper ZHISN,Ship to 49-B,2022-11-25,2022-12-23,2.38,55.2,57.58
Customer CYZTN,"Grisso, Geoff",Sweden,"Cameron, Maria",Sales Representative,Shipper ETYNR,Destination YCMPK,2023-03-17,2023-04-14,3.26,74.4,77.66
Customer CYZTN,"Grisso, Geoff",Sweden,"Cameron, Maria",Sales Representative,Shipper ETYNR,Destination YCMPK,2023-04-27,2023-05-25,59.41,810,869.41
Customer CYZTN,"Grisso, Geoff",Sweden,"Cameron, Maria",Sales Representative,Shipper GVSUA,Destination KBSBN,2022-05-12,2022-06-09,188.04,2222.2,2410.24
Customer CYZTN,"Grisso, Geoff",Sweden,"Cameron, Maria",Sales Representative,Shipper GVSUA,Destination NCKKO,2023-01-09,2023-02-06,1.23,250.8,252.03
Customer CYZTN,"Grisso, Geoff",Sweden,"Cameron, Maria",Sales Representative,Shipper GVSUA,Destination YCMPK,2022-02-28,2022-03-28,16.27,176.1,192.37
Customer CYZTN,"Grisso, Geoff",Sweden,"Cameron, Maria",Sales Representative,Shipper ZHISN,Destination NCKKO,2023-03-26,2023-04-23,208.5,2233,2441.5
Customer CYZTN,"Grisso, Geoff",Sweden,"Davis, Sara",CEO,Shipper GVSUA,Destination NCKKO,2023-02-23,2023-03-23,44.15,863.43,907.58
Customer CYZTN,"Grisso, Geoff",Sweden,"Funk, Don","Vice President, Sales",Shipper ETYNR,Destination YCMPK,2022-06-06,2022-07-04,242.21,2844.5,3086.71
Customer CYZTN,"Grisso, Geoff",Sweden,"Funk, Don","Vice President, Sales",Shipper ETYNR,Destination YCMPK,2023-04-06,2023-05-04,197.3,2769,2966.3
Customer CYZTN,"Grisso, Geoff",Sweden,"Funk, Don","Vice President, Sales",Shipper GVSUA,Destination NCKKO,2021-10-11,2021-11-08,63.36,1810,1873.36
Customer CYZTN,"Grisso, Geoff",Sweden,"King, Russell",Sales Representative,Shipper GVSUA,Destination KBSBN,2023-02-10,2023-03-24,88.01,1500,1588.01
Customer CYZTN,"Grisso, Geoff",Sweden,"King, Russell",Sales Representative,Shipper ZHISN,Destination NCKKO,2023-04-01,2023-04-29,8.81,4895.4375,4904.2475
Customer CYZTN,"Grisso, Geoff",Sweden,"Lew, Judy",Sales Manager,Shipper ETYNR,Destination NCKKO,2022-02-03,2022-03-03,17.92,321.12,339.04
Customer CYZTN,"Grisso, Geoff",Sweden,"Lew, Judy",Sales Manager,Shipper GVSUA,Destination YCMPK,2022-12-02,2022-12-30,328.74,4337,4665.74
Customer CYZTN,"Grisso, Geoff",Sweden,"Mortensen, Sven",Sales Manager,Shipper ZHISN,Destination KBSBN,2021-12-10,2022-01-07,5.44,103.2,108.64
Customer CYZTN,"Grisso, Geoff",Sweden,"Peled, Yael",Sales Representative,Shipper GVSUA,Destination KBSBN,2022-12-11,2022-12-25,48.2,868.75,916.95
Customer CYZTN,"Grisso, Geoff",Sweden,"Peled, Yael",Sales Representative,Shipper GVSUA,Destination YCMPK,2023-03-27,2023-05-08,1.26,248,249.26
Customer CYZTN,"Grisso, Geoff",Sweden,"Suurs, Paul",Sales Representative,Shipper ETYNR,Destination KBSBN,2022-10-14,2022-11-11,152.3,2545,2697.3
Customer CYZTN,"Grisso, Geoff",Sweden,"Suurs, Paul",Sales Representative,Shipper ZHISN,Destination KBSBN,2021-07-24,2021-08-21,3.67,695.625,699.295
Customer DVFMB,"Szymczak, Radosław",United States,"Cameron, Maria",Sales Representative,Shipper ZHISN,Ship to 48-C,2023-02-12,2023-03-12,0.53,36,36.53
Customer DVFMB,"Szymczak, Radosław",United States,"Davis, Sara",CEO,Shipper ETYNR,Ship to 48-B,2022-09-11,2022-10-09,26.31,1295,1321.31
Customer DVFMB,"Szymczak, Radosław",United States,"Funk, Don","Vice President, Sales",Shipper ETYNR,Ship to 48-B,2021-09-17,2021-10-15,0.56,424,424.56
Customer DVFMB,"Szymczak, Radosław",United States,"Lew, Judy",Sales Manager,Shipper ETYNR,Ship to 48-C,2022-09-09,2022-10-07,1.28,125,126.28
Customer DVFMB,"Szymczak, Radosław",United States,"Peled, Yael",Sales Representative,Shipper ETYNR,Ship to 48-B,2023-04-13,2023-05-11,11.65,1575,1586.65
Customer DVFMB,"Szymczak, Radosław",United States,"Peled, Yael",Sales Representative,Shipper GVSUA,Ship to 48-C,2022-05-21,2022-06-18,24.91,417.2,442.11
Customer DVFMB,"Szymczak, Radosław",United States,"Suurs, Paul",Sales Representative,Shipper GVSUA,Ship to 48-B,2021-09-30,2021-10-28,12.69,288,300.69
Customer DVFMB,"Szymczak, Radosław",United States,"Suurs, Paul",Sales Representative,Shipper GVSUA,Ship to 48-B,2023-02-03,2023-03-17,1.93,98.4,100.33
Customer EEALV,"Culp, Scott",Canada,"Davis, Sara",CEO,Shipper GVSUA,Destination XJIBQ,2023-04-16,2023-05-14,52.52,877.725,930.245
Customer EEALV,"Culp, Scott",Canada,"Davis, Sara",CEO,Shipper ZHISN,Destination OLSSJ,2023-03-25,2023-04-22,32.27,717.5,749.77
Customer EEALV,"Culp, Scott",Canada,"Doyle, Patricia",Sales Representative,Shipper ZHISN,Destination XJIBQ,2022-01-10,2022-02-07,23.65,966.8,990.45
Customer EEALV,"Culp, Scott",Canada,"Funk, Don","Vice President, Sales",Shipper GVSUA,Destination XJIBQ,2023-03-27,2023-04-24,14.01,1014,1028.01
Customer EEALV,"Culp, Scott",Canada,"Funk, Don","Vice President, Sales",Shipper ZHISN,Destination OLSSJ,2023-03-13,2023-04-10,74.44,4422,4496.44
Customer EEALV,"Culp, Scott",Canada,"King, Russell",Sales Representative,Shipper ZHISN,Destination XJIBQ,2023-04-24,2023-05-22,24.12,525,549.12
Customer EEALV,"Culp, Scott",Canada,"Lew, Judy",Sales Manager,Shipper GVSUA,Destination XJIBQ,2022-04-01,2022-04-29,62.89,851.2,914.09
Customer EEALV,"Culp, Scott",Canada,"Lew, Judy",Sales Manager,Shipper ZHISN,Destination LPHSI,2022-11-14,2022-12-12,243.73,3118,3361.73
Customer EEALV,"Culp, Scott",Canada,"Lew, Judy",Sales Manager,Shipper ZHISN,Destination OLSSJ,2022-01-10,2022-02-07,2.4,802,804.4
Customer EEALV,"Culp, Scott",Canada,"Lew, Judy",Sales Manager,Shipper ZHISN,Destination OLSSJ,2023-03-02,2023-03-30,48.83,1447.5,1496.33
Customer EEALV,"Culp, Scott",Canada,"Peled, Yael",Sales Representative,Shipper ETYNR,Destination OLSSJ,2021-12-20,2022-01-17,47.42,1832.8,1880.22
Customer EEALV,"Culp, Scott",Canada,"Peled, Yael",Sales Representative,Shipper ETYNR,Destination OLSSJ,2022-01-30,2022-02-13,44.17,1892.25,1936.42
Customer EEALV,"Culp, Scott",Canada,"Suurs, Paul",Sales Representative,Shipper ETYNR,Destination LPHSI,2023-04-23,2023-05-21,70.58,1309.5,1380.08
Customer EEALV,"Culp, Scott",Canada,"Suurs, Paul",Sales Representative,Shipper ZHISN,Destination XJIBQ,2023-03-12,2023-03-26,52.92,1025.325,1078.245
Customer EFFTC,"Owens, Ron",France,"Funk, Don","Vice President, Sales",Shipper GVSUA,Destination POAEW,2023-01-29,2023-02-26,52.51,649,701.51
Customer EFFTC,"Owens, Ron",France,"Peled, Yael",Sales Representative,Shipper ETYNR,Destination MVTWX,2023-03-24,2023-04-21,0.02,251.5,251.52
Customer EFFTC,"Owens, Ron",France,"Peled, Yael",Sales Representative,Shipper GVSUA,Destination WWJLO,2023-03-05,2023-04-02,19.79,800,819.79
Customer EFFTC,"Owens, Ron",France,"Suurs, Paul",Sales Representative,Shipper ETYNR,Destination WWJLO,2023-03-24,2023-04-21,15.17,291.55,306.72
Customer ENQZT,"Elliott, Patrick",France,"Funk, Don","Vice President, Sales",Shipper ETYNR,Ship to 85-C,2021-09-02,2021-09-30,1.15,121.6,122.75
Customer ENQZT,"Elliott, Patrick",France,"Funk, Don","Vice President, Sales",Shipper ETYNR,Ship to 85-C,2022-11-11,2022-12-09,7.79,139.8,147.59
Customer ENQZT,"Elliott, Patrick",France,"Lew, Judy",Sales Manager,Shipper ZHISN,Ship to 85-C,2022-11-12,2022-12-10,11.08,240,251.08
Customer ENQZT,"Elliott, Patrick",France,"Mortensen, Sven",Sales Manager,Shipper ZHISN,Ship to 85-B,2021-07-04,2021-08-01,32.38,440,472.38
Customer ENQZT,"Elliott, Patrick",France,"Suurs, Paul",Sales Representative,Shipper GVSUA,Ship to 85-B,2021-08-06,2021-09-03,6.01,538.6,544.61
Customer EYHKM,"Veninga, Tjeerd",United States,"Doyle, Patricia",Sales Representative,Shipper ETYNR,Ship to 82-B,2022-06-23,2022-08-04,25.41,569,594.41
Customer EYHKM,"Veninga, Tjeerd",United States,"Peled, Yael",Sales Representative,Shipper ETYNR,Ship to 82-A,2022-06-19,2022-07-17,37.6,764.3,801.9
Customer EYHKM,"Veninga, Tjeerd",United States,"Suurs, Paul",Sales Representative,Shipper ZHISN,Ship to 82-B,2023-01-08,2023-02-05,7,237.9,244.9
Customer FAPSM,"Wickham, Jim",Germany,"Funk, Don","Vice President, Sales",Shipper ETYNR,Ship to 79-B,2023-03-23,2023-04-20,62.22,910.4,972.62
Customer FAPSM,"Wickham, Jim",Germany,"Lew, Judy",Sales Manager,Shipper ETYNR,Ship to 79-A,2022-02-06,2022-03-06,8.24,454,462.24
Customer FAPSM,"Wickham, Jim",Germany,"Lew, Judy",Sales Manager,Shipper ETYNR,Ship to 79-A,2022-05-26,2022-06-23,1.43,240.1,241.53
Customer FAPSM,"Wickham, Jim",Germany,"Peled, Yael",Sales Representative,Shipper ETYNR,Ship to 79-C,2022-07-23,2022-08-20,27.79,1064,1091.79
Customer FAPSM,"Wickham, Jim",Germany,"Suurs, Paul",Sales Representative,Shipper GVSUA,Ship to 79-C,2021-07-05,2021-08-16,11.61,1863.4,1875.01
Customer FAPSM,"Wickham, Jim",Germany,"Suurs, Paul",Sales Representative,Shipper GVSUA,Ship to 79-C,2022-02-14,2022-03-14,14.68,246.24,260.92
Customer FEVNN,"Sun, Nate",Germany,"Cameron, Maria",Sales Representative,Shipper ZHISN,Destination YPUYI,2023-04-20,2023-05-18,149.47,1692,1841.47
Customer FEVNN,"Sun, Nate",Germany,"Davis, Sara",CEO,Shipper ETYNR,Destination BJCXA,2023-05-04,2023-05-18,7.98,86.85,94.83
Customer FEVNN,"Sun, Nate",Germany,"Davis, Sara",CEO,Shipper GVSUA,Destination BJCXA,2023-01-09,2023-02-06,79.25,1030.76,1110.01
Customer FEVNN,"Sun, Nate",Germany,"King, Russell",Sales Representative,Shipper ETYNR,Destination AJTHX,2022-12-25,2023-01-22,33.35,420,453.35
Customer FEVNN,"Sun, Nate",Germany,"Lew, Judy",Sales Manager,Shipper ZHISN,Destination AJTHX,2021-12-23,2022-01-20,5.45,86.4,91.85
Customer FEVNN,"Sun, Nate",Germany,"Peled, Yael",Sales Representative,Shipper ZHISN,Destination BJCXA,2021-11-26,2021-12-24,30.54,447.2,477.74
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Cameron, Maria",Sales Representative,Shipper ZHISN,Destination KPVYJ,2021-12-12,2022-01-09,35.03,1313.82,1348.85
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Davis, Sara",CEO,Shipper GVSUA,Destination DGKOU,2022-06-12,2022-07-10,33.97,2519,2552.97
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Doyle, Patricia",Sales Representative,Shipper ETYNR,Destination DGKOU,2022-11-11,2022-12-09,44.1,997,1041.1
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Doyle, Patricia",Sales Representative,Shipper ETYNR,Destination KPVYJ,2022-09-30,2022-10-28,296.43,4960.9,5257.33
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Doyle, Patricia",Sales Representative,Shipper ZHISN,Destination ATSOA,2022-08-27,2022-10-08,142.33,1446,1588.33
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Funk, Don","Vice President, Sales",Shipper ETYNR,Destination DGKOU,2023-02-26,2023-03-26,580.91,6200.55,6781.46
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Funk, Don","Vice President, Sales",Shipper GVSUA,Destination ATSOA,2023-03-30,2023-04-27,91.51,2023.38,2114.89
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Funk, Don","Vice President, Sales",Shipper ZHISN,Destination DGKOU,2022-04-24,2022-05-22,62.78,2381.05,2443.83
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"King, Russell",Sales Representative,Shipper ETYNR,Destination ATSOA,2021-10-22,2021-11-19,42.11,2036.16,2078.27
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"King, Russell",Sales Representative,Shipper ZHISN,Destination ATSOA,2022-09-09,2022-10-07,17.55,562.6,580.15
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Lew, Judy",Sales Manager,Shipper ETYNR,Destination DGKOU,2022-01-29,2022-03-12,56.63,1441.375,1498.005
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Lew, Judy",Sales Manager,Shipper ETYNR,Destination DGKOU,2023-02-19,2023-03-19,603.54,10835.24,11438.78
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Lew, Judy",Sales Manager,Shipper ETYNR,Destination KPVYJ,2023-04-30,2023-05-28,81.73,1342.95,1424.68
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Lew, Judy",Sales Manager,Shipper GVSUA,Destination ATSOA,2021-09-19,2021-10-17,47.3,1762,1809.3
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Lew, Judy",Sales Manager,Shipper GVSUA,Destination KPVYJ,2022-10-21,2022-11-18,89.93,1233.48,1323.41
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Peled, Yael",Sales Representative,Shipper ZHISN,Destination KPVYJ,2021-12-05,2022-01-02,124.12,1366.4,1490.52
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Suurs, Paul",Sales Representative,Shipper ETYNR,Destination ATSOA,2021-09-05,2021-10-03,168.22,2645,2813.22
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Suurs, Paul",Sales Representative,Shipper ETYNR,Destination ATSOA,2022-04-11,2022-05-09,16.74,2048.5,2065.24
Customer FRXZL,"Óskarsson, Jón Harry",Ireland,"Suurs, Paul",Sales Representative,Shipper ZHISN,Destination KPVYJ,2022-10-13,2022-10-27,220.31,2864.5,3084.81
Customer FVXPQ,"Yuksel, Ayca",Venezuela,"Cameron, Maria",Sales Representative,Shipper ZHISN,Destination QJVQH,2021-07-30,2021-08-27,66.29,1101.2,1167.49
Customer FVXPQ,"Yuksel, Ayca",Venezuela,"Davis, Sara",CEO,Shipper ZHISN,Destination FQJFJ,2022-12-18,2023-01-15,1.51,387.5,389.01
Customer GCJSG,"Mallit, Ken",United Kingdom,"Funk, Don","Vice President, Sales",Shipper ZHISN,Ship to 53-C,2022-11-24,2022-12-22,1.39,252,253.39
Customer GCJSG,"Mallit, Ken",United Kingdom,"Lew, Judy",Sales Manager,Shipper ZHISN,Ship to 53-A,2022-04-24,2022-05-22,32.07,352,384.07
Customer GCJSG,"Mallit, Ken",United Kingdom,"Lew, Judy",Sales Manager,Shipper ZHISN,Ship to 53-C,2023-04-29,2023-05-27,4.13,45,49.13
Customer GLLAG,"Song, Lolan",Germany,"Cameron, Maria",Sales Representative,Shipper ETYNR,Destination DKMQA,2022-02-25,2022-04-08,8.12,557.6,565.72
Customer GLLAG,"Song, Lolan",Germany,"Davis, Sara",CEO,Shipper ETYNR,Destination RMBHM,2022-08-13,2022-09-10,32.35,903.6,935.95
Customer GLLAG,"Song, Lolan",Germany,"Davis, Sara",CEO,Shipper ZHISN,Destination DKMQA,2022-05-20,2022-06-17,10.95,469.11,480.06
Customer GLLAG,"Song, Lolan",Germany,"Davis, Sara",CEO,Shipper ZHISN,Destination DKMQA,2022-10-27,2022-11-24,170.88,3463,3633.88
Customer GLLAG,"Song, Lolan",Germany,"Davis, Sara",CEO,Shipper ZHISN,Destination RMBHM,2021-10-09,2021-10-23,64.86,1497,1561.86
Customer GLLAG,"Song, Lolan",Germany,"Doyle, Patricia",Sales Representative,Shipper ETYNR,Destination DKMQA,2022-04-15,2022-05-13,21.19,415.8,436.99
Customer GLLAG,"Song, Lolan",Germany,"Doyle, Patricia",Sales Representative,Shipper ETYNR,Destination DKMQA,2023-01-23,2023-02-20,0.56,967.819,968.379
Customer GLLAG,"Song, Lolan",Germany,"Doyle, Patricia",Sales Representative,Shipper ETYNR,Destination RMBHM,2023-02-18,2023-03-18,77.78,5502.11,5579.89
Customer GLLAG,"Song, Lolan",Germany,"Doyle, Patricia",Sales Representative,Shipper ZHISN,Destination DKMQA,2022-12-26,2023-02-06,30.76,1553.5,1584.26
Customer GLLAG,"Song, Lolan",Germany,"Funk, Don","Vice President, Sales",Shipper GVSUA,Destination DKMQA,2023-04-16,2023-05-14,29.59,2160,2189.59
Customer GLLAG,"Song, Lolan",Germany,"Funk, Don","Vice President, Sales",Shipper GVSUA,Destination RMBHM,2022-02-25,2022-03-25,11.57,1584,1595.57
Customer GLLAG,"Song, Lolan",Germany,"Lew, Judy",Sales Manager,Shipper ETYNR,Destination RMBHM,2023-01-06,2023-01-20,306.07,10952.845,11258.915
